,_id,site,name,min_wage,max_wage,currency,link
0,hh43723290,https://hh.ru/,Python-разработчик,90000.0,130000.0,руб.,https://hh.ru/vacancy/43723290
1,hh43784551,https://hh.ru/,Разработчик Python,,50000.0,руб.,https://hh.ru/vacancy/43784551
2,hh43904365,https://hh.ru/,Программист Python,60000,200000.0,руб.,https://hh.ru/vacancy/43904365
3,hh43577231,https://hh.ru/,Python-специалист,70000,90000.0,руб.,https://hh.ru/vacancy/43577231
4,hh43410882,https://hh.ru/,Python разработчик (удаленно),130000,,руб.,https://hh.ru/vacancy/43410882
5,hh43377259,https://hh.ru/,Senior Python Developer,200000,250000,руб.,https://hh.ru/vacancy/43377259
6,hh39388485,https://hh.ru/,Senior Python Backend Developer (Machine Learning),250000,350000,руб.,https://hh.ru/vacancy/39388485
7,hh43511627,https://hh.ru/,Старший разработчик (Python),3500,4500,USD,https://hh.ru/vacancy/43511627
8,hh30005963,https://hh.ru/,Python developer,4000,,USD,https://hh.ru/vacancy/30005963
9,hh43693893,https://hh.ru/,Аналитик Python,60000,80000,руб.,https://hh.ru/vacancy/43693893
10,hh43628247,https://hh.ru/,Разработчик Python (Django),100000,160000,руб.,https://hh.ru/vacancy/43628247
11,hh42899748,https://hh.ru/,Python Developer,,150000,руб.,https://hh.ru/vacancy/42899748
12,hh43693023,https://hh.ru/,Python / C++ разработчик,150000,230000,руб.,https://hh.ru/vacancy/43693023
13,hh43543827,https://hh.ru/,Младший Python разработчик / Junior Python Developer (Back-end),,,,https://hh.ru/vacancy/43543827
14,hh43809518,https://hh.ru/,Junior Python developer,,,,https://hh.ru/vacancy/43809518
15,hh43661985,https://hh.ru/,Junior Data scientist (ML/Python),,,,https://hh.ru/vacancy/43661985
16,hh43395421,https://hh.ru/,Программист Python,70000,150000,руб.,https://hh.ru/vacancy/43395421
17,hh43242292,https://hh.ru/,"Разработчик-Python (Django, DRF)",170000,220000,руб.,https://hh.ru/vacancy/43242292
18,hh39736489,https://hh.ru/,"Python-разработчик (Django, DRF)",60000,150000,руб.,https://hh.ru/vacancy/39736489
19,hh43905874,https://hh.ru/,Python developer/Data Engineer,3000,4000,USD,https://hh.ru/vacancy/43905874
20,hh43651376,https://hh.ru/,Middle Python Developer,240000,,руб.,https://hh.ru/vacancy/43651376
21,hh43892687,https://hh.ru/,Python Developer (Удалённо),60000,100000,UAH,https://hh.ru/vacancy/43892687
22,hh43850921,https://hh.ru/,ML инженер (Python разработчик / Data scientist),90000,200000,руб.,https://hh.ru/vacancy/43850921
23,hh43809461,https://hh.ru/,Junior Python developer,,,,https://hh.ru/vacancy/43809461
24,hh43891139,https://hh.ru/,Инженер-стажер в отдел разработки внедрения (Python),,,,https://hh.ru/vacancy/43891139
25,hh43832881,https://hh.ru/,Python-разработчик,60000,100000,руб.,https://hh.ru/vacancy/43832881
26,hh43729892,https://hh.ru/,Python разработчик (Middle+/Senior),200000,400000,руб.,https://hh.ru/vacancy/43729892
27,hh43760777,https://hh.ru/,Python программист (Django),,,,https://hh.ru/vacancy/43760777
28,hh43558794,https://hh.ru/,Программист Python,,150000,руб.,https://hh.ru/vacancy/43558794
29,hh43461266,https://hh.ru/,Python разработчик,90000,120000,руб.,https://hh.ru/vacancy/43461266
30,hh43371507,https://hh.ru/,Golang/Python разработчик,150000,,руб.,https://hh.ru/vacancy/43371507
31,hh43282114,https://hh.ru/,Разработчик Python,180000,,руб.,https://hh.ru/vacancy/43282114
32,hh43797905,https://hh.ru/,Python Developer / ML Engineer,5000,8000,USD,https://hh.ru/vacancy/43797905
33,hh43835690,https://hh.ru/,Разработчик Python / Django,70000,80000,руб.,https://hh.ru/vacancy/43835690
34,hh43395422,https://hh.ru/,Программист Python,70000,150000,руб.,https://hh.ru/vacancy/43395422
